timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
2025-01-02 00:00:00,3360.39,3400.0,3354.5,3389.92,25353.4495,1735779599999,85833727.021767,126206.0,14624.3318,49526369.545417,0
2025-01-02 01:00:00,3389.91,3405.6,3377.72,3383.92,12042.4553,1735783199999,40868396.324894,87332.0,5309.9152,18015056.479195,0
2025-01-02 02:00:00,3383.93,3398.5,3378.0,3398.49,6649.5622,1735786799999,22533126.768687,54839.0,3670.8299,12439268.226343,0
2025-01-02 03:00:00,3398.49,3401.99,3387.23,3388.55,8153.031,1735790399999,27656839.097025,44994.0,3086.1367,10470858.041059,0
2025-01-02 04:00:00,3388.54,3427.54,3388.0,3417.69,21263.6161,1735793999999,72391803.217634,94261.0,11895.905,40516492.867238,0
2025-01-02 05:00:00,3417.69,3419.14,3403.99,3412.39,9082.2648,1735797599999,30991011.984784,51456.0,3921.4996,13381258.412487,0
2025-01-02 06:00:00,3412.4,3415.68,3402.13,3410.37,6764.2091,1735801199999,23048339.477133,50806.0,3308.9221,11274674.172111,0
2025-01-02 07:00:00,3410.37,3422.0,3408.79,3420.05,8269.1047,1735804799999,28252863.243661,42236.0,4209.446,14381999.094498,0
2025-01-02 08:00:00,3420.06,3442.62,3414.21,3437.93,12781.0633,1735808399999,43804109.260711,65582.0,6917.5515,23713664.618287,0
2025-01-02 09:00:00,3437.92,3470.0,3434.4,3467.95,16975.8994,1735811999999,58542885.090223,100841.0,9183.4391,31683255.988959,0
2025-01-02 10:00:00,3467.94,3476.0,3457.99,3468.81,13175.5473,1735815599999,45685126.303361,93224.0,6601.0814,22889810.197357,0
2025-01-02 11:00:00,3468.81,3475.0,3456.87,3471.18,8525.1221,1735819199999,29556505.943438,61055.0,3599.5706,12481220.583463,0
2025-01-02 12:00:00,3471.18,3481.14,3465.93,3480.48,11713.9902,1735822799999,40709693.06386,64061.0,6604.3999,22952077.648467,0
2025-01-02 13:00:00,3480.48,3484.4,3459.44,3465.85,17496.4264,1735826399999,60701567.740016,88617.0,6833.0186,23705533.381475,0
2025-01-02 14:00:00,3465.86,3509.99,3440.38,3495.19,48467.5536,1735829999999,168408230.173653,281276.0,26008.4103,90396144.577688,0
